"0"|"1"|"2"|"3"|"4"|"5"
"COMPANY NAME"|"DIVIDEND"|"DIVIDEND"|"DATE"|"DATE"|"DATE"
"COMPANY NAME"|"Type"|"%"|"Announcement"|"Record"|"Ex-Dividend"
"Amtek Auto"|"Final"|"25.00"|"05-12-2012"|"-"|"27-12-2012"
"Glodyne Techno"|"Final"|"2.50"|"25-05-2012"|"-"|"27-12-2012"
"Metalyst Forgin"|"Final"|"10.00"|"25-10-2012"|"-"|"26-12-2012"
"Castex Tech"|"Final"|"5.00"|"04-12-2012"|"-"|"26-12-2012"
"Shri Lakshmi Co"|"Final"|"10.00"|"03-12-2012"|"-"|"26-12-2012"
"Geodesic"|"Final"|"100.00"|"04-12-2012"|"-"|"24-12-2012"
"ONGC"|"Interim"|"100.00"|"04-12-2012"|"26-12-2012"|"24-12-2012"
"Falcon Tyres"|"Final"|"10.00"|"19-11-2012"|"-"|"21-12-2012"
"Bambino Agro"|"Final"|"15.00"|"15-11-2012"|"-"|"20-12-2012"
"Fineotex Chem"|"Final"|"5.00"|"27-11-2012"|"-"|"20-12-2012"
"Fedders Elec"|"Final"|"10.00"|"29-11-2012"|"-"|"20-12-2012"
"Genus Power"|"Final"|"10.00"|"27-11-2012"|"-"|"20-12-2012"
"Brightcom Group"|"Final"|"10.00"|"11-09-2012"|"-"|"20-12-2012"
"Empee Distiller"|"Final"|"10.00"|"04-12-2012"|"-"|"19-12-2012"
"Mediaone Global"|"Final"|"8.00"|"03-12-2012"|"-"|"19-12-2012"
"Colgate"|"Interim"|"600.00"|"08-11-2012"|"17-12-2012"|"14-12-2012"
"HBL Power"|"Final"|"15.00"|"30-05-2012"|"-"|"14-12-2012"
"Joonktollee Tea"|"Final"|"25.00"|"22-11-2012"|"-"|"13-12-2012"
"Usher Agro"|"Final"|"15.00"|"30-08-2012"|"-"|"13-12-2012"
"Nestle"|"Interim"|"180.00"|"07-12-2012"|"13-12-2012"|"12-12-2012"
"Inspirisys Solu"|"Final"|"15.00"|"02-11-2012"|"-"|"11-12-2012"
"Caplin Labs"|"Final"|"20.00"|"12-11-2012"|"-"|"11-12-2012"
"Indo Amines"|"Final"|"10.00"|"21-11-2012"|"-"|"11-12-2012"
"Visagar Polytex"|"Final"|"10.00"|"31-08-2012"|"-"|"10-12-2012"
"Indsil Hydro"|"Final"|"10.00"|"05-11-2012"|"-"|"10-12-2012"
"Ravalgaon Sugar"|"Final"|"10.00"|"08-11-2012"|"-"|"10-12-2012"
"Marsons"|"Final"|"1.00"|"03-09-2012"|"-"|"06-12-2012"
"Pix Transmis"|"Final"|"30.00"|"26-11-2012"|"07-12-2012"|"06-12-2012"
"Vipul"|"Final"|"15.00"|"14-08-2012"|"-"|"05-12-2012"
"Ballarpur Ind"|"Final"|"25.00"|"29-08-2012"|"-"|"03-12-2012"
"IMP Powers"|"Final"|"15.00"|"29-08-2012"|"-"|"03-12-2012"
"Digispice Tech"|"Final"|"50.00"|"27-08-2012"|"-"|"30-11-2012"
"Gillette India"|"Final"|"150.00"|"23-08-2012"|"-"|"29-11-2012"
"Voith Paper Fab"|"Final"|"30.00"|"05-11-2012"|"-"|"29-11-2012"
"Take Solutions"|"Interim"|"30.00"|"09-11-2012"|"26-11-2012"|"23-11-2012"
"Vidhi Spec"|"Interim"|"20.00"|"12-11-2012"|"26-11-2012"|"23-11-2012"
"Astral Poly Tec"|"Interim"|"10.00"|"09-11-2012"|"23-11-2012"|"22-11-2012"
"Birla Corp"|"Interim"|"25.00"|"09-11-2012"|"23-11-2012"|"22-11-2012"
"Pyxis Finvest"|"Interim"|"2.50"|"15-11-2012"|"23-11-2012"|"22-11-2012"
"DCM"|"Interim"|"15.00"|"09-11-2012"|"24-11-2012"|"22-11-2012"
"Gabriel India"|"Interim"|"30.00"|"06-11-2012"|"23-11-2012"|"22-11-2012"
"Infinite Comp"|"Interim"|"60.00"|"09-11-2012"|"23-11-2012"|"22-11-2012"
"Kewal Kiran"|"Interim"|"70.00"|"08-11-2012"|"23-11-2012"|"22-11-2012"
"Max Financial"|"Interim"|"500.00"|"09-11-2012"|"23-11-2012"|"22-11-2012"
"MPS"|"Interim"|"50.00"|"09-11-2012"|"24-11-2012"|"22-11-2012"
"NMDC"|"Interim"|"200.00"|"07-11-2012"|"23-11-2012"|"22-11-2012"
"Oriental Carbon"|"Interim"|"20.00"|"09-11-2012"|"23-11-2012"|"22-11-2012"
"Orient Press"|"Interim"|"20.00"|"15-11-2012"|"23-11-2012"|"22-11-2012"
"Sundram"|"Interim"|"60.00"|"08-11-2012"|"23-11-2012"|"22-11-2012"
"Welspun India"|"Interim"|"20.00"|"09-11-2012"|"23-11-2012"|"22-11-2012"
"Riddhi Siddhi"|"Final"|"250.00"|"19-10-2012"|"-"|"21-11-2012"
"Sun TV Network"|"Interim"|"50.00"|"08-11-2012"|"22-11-2012"|"21-11-2012"
"Technocraft Ind"|"Interim"|"10.00"|"08-11-2012"|"22-11-2012"|"21-11-2012"
"Cyient"|"Interim"|"40.00"|"07-11-2012"|"21-11-2012"|"20-11-2012"
"P and G"|"Final"|"225.00"|"24-08-2012"|"-"|"20-11-2012"
"Hatsun Agro"|"Interim"|"80.00"|"02-11-2012"|"20-11-2012"|"19-11-2012"
"Jolly Board"|"Interim"|"60.00"|"05-11-2012"|"20-11-2012"|"19-11-2012"
"Symphony"|"Final"|"275.00"|"31-07-2012"|"-"|"19-11-2012"
"Sonata"|"Interim"|"50.00"|"01-11-2012"|"20-11-2012"|"19-11-2012"
"APM Industries"|"Interim"|"30.00"|"02-11-2012"|"19-11-2012"|"16-11-2012"
"Hexaware Tech"|"Interim"|"60.00"|"01-11-2012"|"16-11-2012"|"15-11-2012"
"Greaves Cotton"|"Interim"|"20.00"|"05-11-2012"|"17-11-2012"|"15-11-2012"
"Ingersoll Rand"|"Interim"|"30.00"|"05-11-2012"|"17-11-2012"|"15-11-2012"
"MCX India"|"Interim"|"120.00"|"02-11-2012"|"16-11-2012"|"15-11-2012"
"Monsanto India"|"Interim"|"100.00"|"31-10-2012"|"16-11-2012"|"15-11-2012"
"MT Educare"|"Interim"|"10.00"|"19-10-2012"|"16-11-2012"|"15-11-2012"
"Mayur Uniquoter"|"Interim"|"22.50"|"25-10-2012"|"16-11-2012"|"15-11-2012"
"Page Industries"|"Interim"|"120.00"|"15-10-2012"|"16-11-2012"|"15-11-2012"
"Rolta"|"Final"|"30.00"|"22-08-2012"|"-"|"15-11-2012"
"Shriram City"|"Interim"|"25.00"|"31-10-2012"|"16-11-2012"|"15-11-2012"
"Solar Ind"|"Interim"|"50.00"|"05-11-2012"|"17-11-2012"|"15-11-2012"
"SRF"|"Interim"|"50.00"|"02-11-2012"|"16-11-2012"|"15-11-2012"
"Shriram Trans"|"Interim"|"30.00"|"30-10-2012"|"16-11-2012"|"15-11-2012"
"Malabar Trading"|"Final"|"1.00"|"01-10-2012"|"-"|"12-11-2012"
"GMM Pfaudler"|"Interim"|"35.00"|"22-10-2012"|"12-11-2012"|"09-11-2012"
"Ramco Cements"|"Interim"|"100.00"|"25-10-2012"|"12-11-2012"|"09-11-2012"
"ASM Tech"|"Interim"|"12.00"|"01-11-2012"|"10-11-2012"|"08-11-2012"
"Godrej Consumer"|"Interim"|"100.00"|"12-10-2012"|"09-11-2012"|"08-11-2012"
"Gateway Distri"|"Interim"|"40.00"|"25-10-2012"|"10-11-2012"|"08-11-2012"
"KSB Pumps"|"Interim"|"10.00"|"26-10-2012"|"09-11-2012"|"08-11-2012"
"Polaris Consult"|"Final"|"60.00"|"12-10-2012"|"-"|"08-11-2012"
"Expleo Solution"|"Interim"|"30.00"|"25-10-2012"|"09-11-2012"|"08-11-2012"
"Triveni Turbine"|"Interim"|"25.00"|"29-10-2012"|"09-11-2012"|"08-11-2012"
"Visaka Ind"|"Interim"|"10.00"|"29-10-2012"|"09-11-2012"|"08-11-2012"
"63 Moons Tech"|"Interim"|"100.00"|"17-10-2012"|"09-11-2012"|"08-11-2012"
"CG Power"|"Interim"|"20.00"|"25-10-2012"|"08-11-2012"|"07-11-2012"
