"Year"|"COMPANY"|"Bonus Ratio"|"Announcement"|"Record"|"Ex-Bonus"
"2005"|"Phoenix Mills"|"4:1"|"01-09-2005"|"16-12-2005"|"09-12-2005"
"2005"|"Faze Three Exp"|"3:2"|"13-10-2005"|"25-11-2005"|"24-11-2005"
"2005"|"Crest Ventures"|"1:2"|"25-07-2005"|"16-11-2005"|"14-11-2005"
"2005"|"MphasiS"|"1:1"|"11-04-2005"|"14-11-2005"|"11-11-2005"
"2005"|"Sterling Tools"|"1:1"|"29-08-2005"|"11-11-2005"|"10-11-2005"
"2005"|"Cranes Software"|"1:1"|"28-06-2005"|"11-11-2005"|"02-11-2005"
"2005"|"Linkhouse Ind"|"1:1"|"11-07-2005"|"11-11-2005"|"02-11-2005"
"2005"|"Jindal Worldwid"|"3:1"|"08-09-2005"|"31-10-2005"|"28-10-2005"
"2005"|"Suryalata Spg"|"1:2"|"20-07-2005"|"31-10-2005"|"28-10-2005"
"2005"|"Helios and Mat"|"1:1"|"25-07-2005"|"29-10-2005"|"27-10-2005"
"2005"|"Indo Pacific"|"1:1"|"11-07-2005"|"07-11-2005"|"26-10-2005"
"2005"|"Zodiac Clothing"|"1:1"|"05-07-2005"|"25-10-2005"|"24-10-2005"
"2005"|"Gangotri Textil"|"1:1"|"25-08-2005"|"31-10-2005"|"24-10-2005"
"2005"|"GP Petroleums"|"3:5"|"22-08-2005"|"21-10-2005"|"20-10-2005"
"2005"|"Ashco Niulab"|"3:1"|"16-08-2005"|"21-10-2005"|"20-10-2005"
"2005"|"Kirloskar Bros"|"2:1"|"18-07-2005"|"18-10-2005"|"17-10-2005"
"2005"|"Pioneer"|"1:2"|"24-06-2005"|"17-10-2005"|"14-10-2005"
"2005"|"Ontrack Systems"|"1:2"|"29-07-2005"|"21-10-2005"|"14-10-2005"
"2005"|"Himatsingka Sei"|"1:1"|"07-09-2005"|"21-10-2005"|"14-10-2005"
"2005"|"Sanwaria Consum"|"1:4"|"21-07-2005"|"14-10-2005"|"13-10-2005"
"2005"|"Liberty Shoes"|"1:1"|"18-07-2005"|"14-10-2005"|"13-10-2005"
"2005"|"Suryalakshmi Co"|"1:1"|"21-06-2005"|"12-10-2005"|"10-10-2005"
"2005"|"Ultramarine"|"3:5"|"02-08-2005"|"18-10-2005"|"10-10-2005"
"2005"|"Astra Microwave"|"1:1"|"25-07-2005"|"15-10-2005"|"07-10-2005"
"2005"|"DCM Shriram"|"1:1"|"17-08-2005"|"17-10-2005"|"07-10-2005"
"2005"|"Promact Impex"|"1:5"|"23-06-2005"|"06-10-2005"|"05-10-2005"
"2005"|"Bliss GVS"|"2:5"|"25-07-2005"|"01-10-2005"|"28-09-2005"
"2005"|"Metalyst Forgin"|"2:1"|"10-08-2005"|"24-09-2005"|"22-09-2005"
"2005"|"ITC"|"1:2"|"17-06-2005"|"28-09-2005"|"21-09-2005"
"2005"|"Grauer and Weil"|"1:4"|"30-06-2005"|"20-09-2005"|"19-09-2005"
"2005"|"Vardhman Text"|"1:2"|"17-06-2005"|"16-09-2005"|"15-09-2005"
"2005"|"Orchid Pharma"|"1:2"|"18-07-2005"|"17-09-2005"|"15-09-2005"
"2005"|"Hind Rectifiers"|"1:2"|"21-06-2005"|"14-09-2005"|"13-09-2005"
"2005"|"Asahi India"|"1:1"|"24-05-2005"|"02-09-2005"|"01-09-2005"
"2005"|"M&M"|"1:1"|"14-06-2005"|"02-09-2005"|"01-09-2005"
"2005"|"ZF Steering Gea"|"1:1"|"28-05-2005"|"31-08-2005"|"30-08-2005"
"2005"|"Indian Hume"|"2:3"|"27-06-2005"|"30-08-2005"|"29-08-2005"
"2005"|"Goldiam Inter"|"1:1"|"07-05-2005"|"26-08-2005"|"25-08-2005"
"2005"|"Vishal Exports"|"2:1"|"15-06-2005"|"26-08-2005"|"25-08-2005"
"2005"|"Aeonian Pub"|"3:1"|"10-06-2005"|"01-09-2005"|"25-08-2005"
"2005"|"Kotak Mahindra"|"3:2"|"07-06-2005"|"26-08-2005"|"25-08-2005"
"2005"|"Diana Tea"|"3:2"|"14-07-2005"|"25-08-2005"|"24-08-2005"
"2005"|"Tata Inv Corp"|"1:2"|"15-06-2005"|"23-08-2005"|"22-08-2005"
"2005"|"Wipro"|"1:1"|"22-04-2005"|"23-08-2005"|"22-08-2005"
"2005"|"Balkrishna Ind"|"1:2"|"16-05-2005"|"22-08-2005"|"19-08-2005"
"2005"|"Praj Industries"|"1:1"|"17-06-2005"|"24-08-2005"|"17-08-2005"
"2005"|"Opto Circuits"|"5:10"|"09-05-2005"|"17-08-2005"|"16-08-2005"
"2005"|"Swaraj Engines"|"2:1"|"20-06-2005"|"16-08-2005"|"12-08-2005"
"2005"|"Havells India"|"1:1"|"12-05-2005"|"06-08-2005"|"04-08-2005"
"2005"|"Gujarat Apollo"|"1:1"|"05-05-2005"|"04-08-2005"|"03-08-2005"
"2005"|"Jaybharat Text"|"9:1"|"27-04-2005"|"12-08-2005"|"29-07-2005"
"2005"|"Swasti Vinayaka"|"3:5"|"27-05-2005"|"19-07-2005"|"18-07-2005"
"2005"|"KSL & Ind"|"2:1"|"28-04-2005"|"15-07-2005"|"14-07-2005"
"2005"|"Ugar Sugar Work"|"3:5"|"28-03-2005"|"06-07-2005"|"29-06-2005"
"2005"|"Eltrol"|"3:1"|"28-04-2005"|"01-07-2005"|"29-06-2005"
"2005"|"Carborundum"|"1:1"|"27-04-2005"|"-"|"23-06-2005"
"2005"|"CORE Education"|"12:1"|"19-04-2005"|"21-06-2005"|"20-06-2005"
"2005"|"Ambuja Cements"|"1:2"|"19-04-2005"|"25-06-2005"|"20-06-2005"
"2005"|"Triveni Engg"|"3:2"|"18-04-2005"|"-"|"13-06-2005"
"2005"|"Alpha Hi-Tech"|"1:6"|"28-01-2005"|"05-05-2005"|"04-05-2005"
"2005"|"Amit Intern"|"1:2"|"28-01-2005"|"29-04-2005"|"28-04-2005"
"2005"|"Vijay Textiles"|"2:1"|"24-02-2005"|"26-04-2005"|"25-04-2005"
"2005"|"Ruchinfra"|"3:1"|"08-03-2005"|"29-04-2005"|"21-04-2005"
"2005"|"Southern Ispat"|"1:8"|"25-02-2005"|"15-04-2005"|"13-04-2005"
"2005"|"Ansal Propertie"|"1:2"|"25-01-2005"|"01-04-2005"|"30-03-2005"
"2005"|"Geojit Fin"|"1:1"|"30-01-2005"|"30-03-2005"|"29-03-2005"
"2005"|"The Hi-Tech Gea"|"1:1"|"24-01-2005"|"17-03-2005"|"16-03-2005"
"2005"|"Shivalik Bimeta"|"1:1"|"31-01-2005"|"22-03-2005"|"15-03-2005"
"2005"|"Sumeet Ind"|"1:2"|"24-01-2005"|"15-03-2005"|"14-03-2005"
"2005"|"Glenmark"|"1:1"|"06-01-2005"|"-"|"04-03-2005"
"2005"|"TechNVision"|"10:1"|"15-01-2005"|"14-03-2005"|"02-03-2005"
"2005"|"Motherson Sumi"|"1:2"|"07-01-2005"|"26-02-2005"|"24-02-2005"
"2005"|"Marsons"|"1:2"|"04-01-2005"|"23-02-2005"|"22-02-2005"
"2005"|"Ircon Internati"|"1:1"|"26-10-2004"|"-"|"18-02-2005"
"2005"|"Vyapar Ind"|"7:2"|"16-12-2004"|"21-02-2005"|"18-02-2005"
"2005"|"Geodesic"|"1:1"|"07-01-2005"|"25-02-2005"|"18-02-2005"
"2005"|"MM Forgings"|"1:1"|"13-12-2004"|"17-02-2005"|"16-02-2005"
"2005"|"Vedanta"|"1:1"|"17-12-2004"|"17-02-2005"|"16-02-2005"
"2005"|"Ind Motor Parts"|"1:1"|"30-11-2004"|"18-02-2005"|"16-02-2005"
"2005"|"Aarti Ind"|"2:1"|"29-12-2004"|"10-02-2005"|"09-02-2005"
"2005"|"Guj NRE Coke"|"1:1"|"09-11-2004"|"10-02-2005"|"09-02-2005"
"2005"|"Guj NRE (DVR)"|"1:1"|"09-11-2004"|"10-02-2005"|"09-02-2005"
"2005"|"Ipca Labs"|"1:1"|"27-10-2004"|"31-01-2005"|"28-01-2005"
"2005"|"Aftek"|"1:2"|"27-11-2004"|"28-01-2005"|"27-01-2005"
"2005"|"Matrix Lab"|"1:1"|"26-10-2004"|"20-01-2005"|"13-01-2005"
"2005"|"HSIL"|"2:3"|"28-10-2004"|"06-01-2005"|"05-01-2005"
"2006"|"Hazoor"|"1:1"|"05-10-2006"|"-"|"28-12-2006"
"2006"|"Brady and Morri"|"1:1"|"23-09-2006"|"15-12-2006"|"14-12-2006"
"2006"|"CG Power"|"2:5"|"14-10-2006"|"15-12-2006"|"14-12-2006"
"2006"|"Hind Dorr-Olive"|"1:5"|"01-06-2006"|"24-11-2006"|"23-11-2006"
"2006"|"Tera Software"|"1:4"|"28-08-2006"|"-"|"23-11-2006"
"2006"|"Arshiya"|"3:2"|"16-09-2006"|"21-11-2006"|"20-11-2006"
"2006"|"Lakshmi Vilas"|"1:2"|"06-07-2006"|"24-11-2006"|"17-11-2006"
"2006"|"Minal Ind"|"19:5"|"01-08-2005"|"15-11-2006"|"14-11-2006"
"2006"|"Supreme Ind"|"1:1"|"01-08-2006"|"14-11-2006"|"13-11-2006"
"2006"|"Maha ShreeUmaid"|"1:1"|"31-07-2006"|"10-11-2006"|"09-11-2006"
"2006"|"Sukhjit Starch"|"1:1"|"20-07-2006"|"-"|"08-11-2006"
"2006"|"Mah Corporation"|"5:3"|"14-08-2006"|"06-11-2006"|"03-11-2006"
"2006"|"Jeet Machine"|"7:1"|"04-09-2006"|"15-11-2006"|"02-11-2006"
"2006"|"Subway Finance"|"7:2"|"04-07-2006"|"15-11-2006"|"02-11-2006"
"2006"|"JagranPrakashan"|"1:5"|"29-07-2006"|"03-11-2006"|"02-11-2006"
"2006"|"Opto Circuits"|"1:1"|"13-06-2006"|"31-10-2006"|"30-10-2006"
"2006"|"ONGC"|"1:2"|"26-07-2006"|"30-10-2006"|"27-10-2006"
"2006"|"Tricom India"|"1:1"|"21-06-2006"|"27-10-2006"|"26-10-2006"
"2006"|"Siyaram Silk"|"1:2"|"12-06-2006"|"20-10-2006"|"19-10-2006"
"2006"|"Vishnu Sugar"|"1:1"|"31-07-2006"|"27-10-2006"|"13-10-2006"
"2006"|"AVT Natural"|"1:1"|"29-07-2006"|"13-10-2006"|"12-10-2006"
"2006"|"Berger Paints"|"3:5"|"06-06-2006"|"13-10-2006"|"12-10-2006"
"2006"|"Mahindra Satyam"|"1:1"|"21-04-2006"|"10-10-2006"|"09-10-2006"
"2006"|"Larsen"|"1:1"|"07-06-2006"|"29-09-2006"|"28-09-2006"
"2006"|"Guj NRE Coke"|"1:1"|"03-06-2006"|"29-09-2006"|"28-09-2006"
"2006"|"Guj NRE (DVR)"|"1:1"|"03-06-2006"|"29-09-2006"|"28-09-2006"
"2006"|"La Opala RG"|"1:1"|"02-08-2006"|"26-09-2006"|"25-09-2006"
"2006"|"Swasti Vinayaka"|"1:2"|"29-07-2006"|"26-09-2006"|"25-09-2006"
"2006"|"Jay BharatMarut"|"1:1"|"01-08-2006"|"26-09-2006"|"25-09-2006"
"2006"|"Alps Industries"|"1:1"|"29-04-2006"|"-"|"22-09-2006"
"2006"|"NCC"|"1:1"|"29-05-2006"|"21-09-2006"|"20-09-2006"
"2006"|"JTEKT India"|"1:1"|"20-04-2006"|"15-09-2006"|"14-09-2006"
"2006"|"Hercules Hoists"|"1:1"|"31-05-2006"|"15-09-2006"|"14-09-2006"
"2006"|"EIH"|"1:2"|"31-05-2006"|"19-09-2006"|"12-09-2006"
"2006"|"Cheviot Company"|"1:2"|"19-06-2006"|"12-09-2006"|"11-09-2006"
"2006"|"KS Oils"|"1:1"|"29-04-2006"|"11-09-2006"|"08-09-2006"
"2006"|"Bhagyanagar Ind"|"1:1"|"13-06-2006"|"08-09-2006"|"07-09-2006"
"2006"|"NESCO"|"1:1"|"12-06-2006"|"05-09-2006"|"04-09-2006"
"2006"|"Cadila Health"|"1:1"|"28-04-2006"|"31-08-2006"|"30-08-2006"
"2006"|"Dr Reddys Labs"|"1:1"|"31-05-2006"|"29-08-2006"|"28-08-2006"
"2006"|"Invest and Prec"|"3:1"|"02-05-2006"|"25-08-2006"|"24-08-2006"
"2006"|"Precision Elec"|"3:2"|"26-06-2006"|"22-08-2006"|"21-08-2006"
"2006"|"CORE Education"|"2:1"|"07-06-2006"|"18-08-2006"|"17-08-2006"
"2006"|"Banswara Syntex"|"1:2"|"11-05-2006"|"18-08-2006"|"17-08-2006"
"2006"|"Lupin"|"1:1"|"17-05-2006"|"14-08-2006"|"11-08-2006"
"2006"|"Prism Info"|"2:1"|"06-06-2006"|"21-08-2006"|"09-08-2006"
"2006"|"Anuh Pharma"|"1:1"|"29-04-2006"|"07-08-2006"|"31-07-2006"
"2006"|"UB Holdings"|"1:1"|"28-04-2006"|"31-07-2006"|"28-07-2006"
"2006"|"TCS"|"1:1"|"17-04-2006"|"31-07-2006"|"28-07-2006"
"2006"|"Cyient"|"1:2"|"19-04-2006"|"04-08-2006"|"28-07-2006"
"2006"|"Havells India"|"1:1"|"18-05-2006"|"21-07-2006"|"20-07-2006"
"2006"|"Karur Vysya"|"1:1"|"25-05-2006"|"-"|"19-07-2006"
"2006"|"Infosys"|"1:1"|"14-04-2006"|"14-07-2006"|"13-07-2006"
"2006"|"AB Money"|"1:1"|"03-05-2006"|"-"|"12-07-2006"
"2006"|"Jaybharat Text"|"15:10"|"04-05-2006"|"07-07-2006"|"06-07-2006"
"2006"|"KSL & Ind"|"1:5"|"02-05-2006"|"08-07-2006"|"06-07-2006"
"2006"|"Atlas Copco"|"1:1"|"28-04-2006"|"27-06-2006"|"26-06-2006"
"2006"|"ILandFS"|"1:2"|"04-04-2006"|"27-06-2006"|"23-06-2006"
"2006"|"Unitech"|"12:1"|"12-05-2006"|"30-06-2006"|"23-06-2006"
"2006"|"Grindwell Norto"|"1:1"|"06-03-2006"|"02-06-2006"|"26-05-2006"
"2006"|"National Perox"|"3:2"|"22-02-2006"|"02-06-2006"|"26-05-2006"
"2006"|"Sterlite Ind"|"1:1"|"10-02-2006"|"12-05-2006"|"05-05-2006"
"2006"|"Cipla"|"3:2"|"11-02-2006"|"25-04-2006"|"24-04-2006"
"2006"|"Jayant Agro-Org"|"1:1"|"03-03-2006"|"17-04-2006"|"13-04-2006"
"2006"|"Kalpataru Power"|"1:1"|"31-03-2006"|"17-04-2006"|"13-04-2006"
"2006"|"Mastek"|"1:1"|"12-01-2006"|"28-03-2006"|"27-03-2006"
"2006"|"The Investment"|"1:1"|"31-01-2006"|"22-03-2006"|"21-03-2006"
"2006"|"Shree Ram Urban"|"1:5"|"09-02-2006"|"31-03-2006"|"17-03-2006"
"2006"|"GSL Nova Petro"|"1:1"|"30-01-2006"|"20-03-2006"|"17-03-2006"
"2006"|"Marathon Realty"|"4:1"|"15-02-2006"|"29-03-2006"|"16-03-2006"
"2006"|"Torrent Pharma"|"1:1"|"15-12-2005"|"27-02-2006"|"20-02-2006"
"2006"|"VIP Clothing"|"3:4"|"27-12-2005"|"23-02-2006"|"16-02-2006"
"2006"|"Shah Alloys"|"1:1"|"13-09-2005"|"14-02-2006"|"13-02-2006"
"2006"|"Mercator"|"3:2"|"20-12-2005"|"03-02-2006"|"02-02-2006"
"2006"|"KLG Systel"|"1:1"|"12-12-2005"|"30-01-2006"|"27-01-2006"
"2006"|"Donear Ind"|"1:1"|"05-12-2005"|"03-02-2006"|"27-01-2006"
"2006"|"Dabur India"|"1:1"|"24-10-2005"|"20-01-2006"|"19-01-2006"
"2006"|"Ganesh Housing"|"2:1"|"27-10-2005"|"20-01-2006"|"19-01-2006"
"2006"|"United Western"|"1:5"|"29-08-2005"|"-"|"17-01-2006"
"2006"|"Netlink Sol"|"2:1"|"07-10-2005"|"20-01-2006"|"13-01-2006"
"2006"|"Subex"|"1:1"|"28-10-2005"|"06-01-2006"|"05-01-2006"
"2007"|"Kanoria Chem"|"1:2"|"29-10-2007"|"07-01-2008"|"31-12-2007"
"2007"|"Rasi Electrodes"|"2:5"|"25-07-2007"|"20-12-2007"|"19-12-2007"
"2007"|"Mediaone Global"|"5:1"|"14-08-2007"|"24-12-2007"|"12-12-2007"
"2007"|"Ushdev Intl"|"1:1"|"15-10-2007"|"06-12-2007"|"05-12-2007"
"2007"|"Vinati Organics"|"1:2"|"31-07-2007"|"23-11-2007"|"22-11-2007"
"2007"|"Harita Seating"|"1:1"|"28-07-2007"|"16-11-2007"|"15-11-2007"
"2007"|"Axon Finance"|"3:1"|"01-09-2007"|"16-11-2007"|"15-11-2007"
"2007"|"DMC Education"|"1:1"|"14-05-2007"|"13-11-2007"|"12-11-2007"
"2007"|"CNI Research"|"1:2"|"13-08-2007"|"06-11-2007"|"05-11-2007"
"2007"|"Parenteral Drug"|"1:1"|"04-09-2007"|"05-11-2007"|"02-11-2007"
"2007"|"BAMPSL Sec"|"2:5"|"30-06-2007"|"05-11-2007"|"02-11-2007"
"2007"|"Dolat Investmen"|"1:1"|"21-07-2007"|"30-10-2007"|"29-10-2007"
"2007"|"Opto Circuits"|"1:2"|"29-06-2007"|"26-10-2007"|"25-10-2007"
"2007"|"Kirloskar Ind"|"1:1"|"19-07-2007"|"27-10-2007"|"25-10-2007"
"2007"|"JBM Auto"|"1:2"|"28-07-2007"|"25-10-2007"|"24-10-2007"
"2007"|"Ashapura Mine"|"1:1"|"27-06-2007"|"19-10-2007"|"18-10-2007"
"2007"|"TV 18"|"1:1"|"05-07-2007"|"18-10-2007"|"17-10-2007"
"2007"|"Kernex Micro"|"1:10"|"29-06-2007"|"17-10-2007"|"16-10-2007"
"2007"|"Marathon Realty"|"2:1"|"29-06-2007"|"15-10-2007"|"12-10-2007"
"2007"|"Elecon Eng"|"2:1"|"15-06-2007"|"11-10-2007"|"10-10-2007"
"2007"|"Jai Corp"|"1:1"|"09-08-2007"|"12-10-2007"|"05-10-2007"
"2007"|"Valecha Engg"|"1:2"|"30-07-2007"|"05-10-2007"|"04-10-2007"
"2007"|"Modern Dairies"|"1:1"|"23-07-2007"|"01-10-2007"|"28-09-2007"
"2007"|"Modern Steels"|"3:2"|"24-07-2007"|"01-10-2007"|"28-09-2007"
"2007"|"Suraj"|"2:1"|"26-06-2007"|"17-09-2007"|"14-09-2007"
"2007"|"Jaybharat Text"|"1:1"|"23-07-2007"|"04-09-2007"|"03-09-2007"
