"Year"|"Company"|"Rights Ratio"|"FV"|"Premium"|"Announcement"|"Record"|"Ex-Rights"
"2006"|"Bengal Tea"|"1:2"|"10"|"10"|"29-04-06"|"05-01-07"|"28-12-06"
"2006"|"Ennore Coke"|"30:1"|"10"|"10"|"15-12-06"|"08-01-07"|"27-12-06"
"2006"|"Kirloskar Ferro"|"9:10"|"5"|"30"|"24-05-06"|"27-12-06"|"19-12-06"
"2006"|"Karur Vysya"|"1:2"|"10"|"60"|"25-05-06"|"20-12-06"|"13-12-06"
"2006"|"Dutron Polymers"|"1:1"|"10"|"10"|"22-02-06"|"20-12-06"|"13-12-06"
"2006"|"AB Nuvo"|"2:17"|"10"|"783"|"11-09-06"|"08-12-06"|"01-12-06"
"2006"|"Digispice Tech"|"1:1"|"3"|"7"|"14-03-06"|"01-12-06"|"24-11-06"
"2006"|"Lakshmi Vilas"|"1:1"|"10"|"40"|"06-07-06"|"24-11-06"|"17-11-06"
"2006"|"Bajaj Finance"|"6:10"|"10"|"315"|"12-01-06"|"20-11-06"|"13-11-06"
"2006"|"TataTeleservice"|"19:100"|"10"|"7"|"22-12-05"|"28-10-06"|"19-10-06"
"2006"|"Tata Coffee"|"1:2"|"400"|"240"|"14-03-06"|"30-10-06"|"19-10-06"
"2006"|"Sunshield Chem"|"1:1"|"10"|"20"|"06-03-06"|"16-10-06"|"09-10-06"
"2006"|"RS Software"|"1:2"|"10"|"55"|"28-11-05"|"05-10-06"|"27-09-06"
"2006"|"JMC Projects"|"2:5"|"10"|"90"|"07-11-05"|"21-09-06"|"14-09-06"
"2006"|"GEE"|"4:1"|"10"|"5"|"12-12-05"|"00-00-00"|"12-09-06"
"2006"|"ITD Cementation"|"1:4"|"10"|"480"|"16-01-06"|"15-09-06"|"08-09-06"
"2006"|"TT"|"1:1"|"10"|"10"|"15-02-06"|"00-00-00"|"07-09-06"
"2006"|"GRUH Finance"|"3:10"|"10"|"65"|"21-04-06"|"02-09-06"|"28-08-06"
"2006"|"HOEC"|"1:3"|"10"|"66"|"03-05-06"|"00-00-00"|"18-08-06"
"2006"|"Morarjee Text"|"3:4"|"10"|"45"|"19-01-06"|"00-00-00"|"09-08-06"
"2006"|"Basant Agro Tec"|"3:2"|"10"|"15"|"13-02-06"|"11-07-06"|"04-07-06"
"2006"|"Pondy Oxides"|"2:3"|"2"|"2"|"16-04-05"|"30-06-06"|"23-06-06"
"2006"|"Upper Ganges"|"13:20"|"10"|"140"|"06-03-06"|"16-06-06"|"09-06-06"
"2006"|"HBL Power"|"1:10"|"10"|"90"|"10-01-05"|"07-06-06"|"31-05-06"
